kappa,Fx_N
-1,-3658.08783205122
-0.999,-3658.39363326839
-0.998,-3658.69955602405
-0.997,-3659.00560062028
-0.996,-3659.31176736032
-0.995,-3659.61805654857
-0.994,-3659.92446849059
-0.993,-3660.23100349311
-0.992,-3660.53766186403
-0.991,-3660.84444391245
-0.99,-3661.15134994863
-0.989,-3661.45838028405
-0.988,-3661.76553523136
-0.987,-3662.07281510443
-0.986,-3662.38022021832
-0.985,-3662.68775088932
-0.984,-3662.99540743492
-0.983,-3663.30319017385
-0.982,-3663.61109942606
-0.981,-3663.91913551274
-0.98,-3664.22729875631
-0.979,-3664.53558948044
-0.978,-3664.84400801004
-0.977,-3665.15255467131
-0.976,-3665.46122979168
-0.975,-3665.77003369985
-0.974,-3666.07896672581
-0.973,-3666.38802920082
-0.972,-3666.69722145742
-0.971,-3667.00654382944
-0.97,-3667.31599665201
-0.969,-3667.62558026158
-0.968,-3667.93529499588
-0.967,-3668.24514119397
-0.966,-3668.55511919621
-0.965,-3668.86522934433
-0.964,-3669.17547198134
-0.963,-3669.48584745161
-0.962,-3669.79635610087
-0.961,-3670.10699827618
-0.96,-3670.41777432595
-0.959,-3670.72868459998
-0.958,-3671.0397294494
-0.957,-3671.35090922675
-0.956,-3671.66222428594
-0.955,-3671.97367498224
-0.954,-3672.28526167237
-0.953,-3672.59698471439
-0.952,-3672.9088444678
-0.951,-3673.22084129351
-0.95,-3673.53297555384
-0.949,-3673.84524761254
-0.948,-3674.15765783478
-0.947,-3674.47020658719
-0.946,-3674.78289423782
-0.945,-3675.09572115621
-0.944,-3675.4086877133
-0.943,-3675.72179428155
-0.942,-3676.03504123487
-0.941,-3676.34842894863
-0.94,-3676.66195779971
-0.939,-3676.97562816647
-0.938,-3677.28944042878
-0.937,-3677.60339496799
-0.936,-3677.917492167
-0.935,-3678.23173241019
-0.934,-3678.54611608349
-0.933,-3678.86064357436
-0.932,-3679.1753152718
-0.931,-3679.49013156634
-0.93,-3679.80509285009
-0.929,-3680.1201995167
-0.928,-3680.43545196142
-0.927,-3680.75085058103
-0.926,-3681.06639577392
-0.925,-3681.38208794009
-0.924,-3681.69792748109
-0.923,-3682.01391480011
-0.922,-3682.33005030195
-0.921,-3682.64633439301
-0.92,-3682.96276748133
-0.919,-3683.2793499766
-0.918,-3683.59608229013
-0.917,-3683.91296483489
-0.916,-3684.2299980255
-0.915,-3684.54718227825
-0.914,-3684.86451801111
-0.913,-3685.18200564372
-0.912,-3685.49964559742
-0.911,-3685.81743829523
-0.91,-3686.1353841619
-0.909,-3686.45348362386
-0.908,-3686.77173710928
-0.907,-3687.09014504807
-0.906,-3687.40870787184
-0.905,-3687.72742601399
-0.904,-3688.04629990963
-0.903,-3688.36532999565
-0.902,-3688.68451671071
-0.901,-3689.00386049526
-0.9,-3689.3233617915
-0.899,-3689.64302104346
-0.898,-3689.96283869694
-0.897,-3690.28281519959
-0.896,-3690.60295100083
-0.895,-3690.92324655195
-0.894,-3691.24370230606
-0.893,-3691.5643187181
-0.892,-3691.8850962449
-0.891,-3692.20603534512
-0.89,-3692.52713647929
-0.889,-3692.84840010984
-0.888,-3693.16982670108
-0.887,-3693.49141671921
-0.886,-3693.81317063235
-0.885,-3694.13508891052
-0.884,-3694.45717202567
-0.883,-3694.77942045169
-0.882,-3695.1018346644
-0.881,-3695.42441514158
-0.88,-3695.74716236297
-0.879,-3696.07007681028
-0.878,-3696.3931589672
-0.877,-3696.7164093194
-0.876,-3697.03982835455
-0.875,-3697.36341656233
-0.874,-3697.68717443445
-0.873,-3698.01110246463
-0.872,-3698.33520114862
-0.871,-3698.65947098424
-0.87,-3698.98391247134
-0.869,-3699.30852611185
-0.868,-3699.63331240976
-0.867,-3699.95827187117
-0.866,-3700.28340500426
-0.865,-3700.6087123193
-0.864,-3700.93419432869
-0.863,-3701.25985154696
-0.862,-3701.58568449076
-0.861,-3701.91169367889
-0.86,-3702.23787963232
-0.859,-3702.56424287415
-0.858,-3702.89078392969
-0.857,-3703.21750332643
-0.856,-3703.54440159402
-0.855,-3703.87147926437
-0.854,-3704.19873687158
-0.853,-3704.52617495196
